OrderID,OrderDate,Region,Category,CustomerSegment,Quantity,UnitPrice,Discount,Sales,Profit,ShippingDays,Returned
ORD-102104,2023-01-09,East,Clothing,Corporate,7,63.28,0.0,442.96,161.45,5.0,Yes
ORD-100005,2023-01-09,Central,Office Supplies,Consumer,1,48.64,0.0,48.64,17.24,8.0,No
ORD-100443,2023-01-09,North,Furniture,Corporate,2,60.27,0.2,96.43,19.31,4.0,No
ORD-101474,2023-01-10,East,Office Supplies,Consumer,5,43.62,0.0,218.1,74.14,6.0,No
ORD-100535,2023-01-10,North,Office Supplies,Consumer,6,80.79,0.15,412.03,60.37,5.0,No
ORD-101581,2023-01-10,South,Office Supplies,Home Office,8,22.81,0.0,182.48,68.98,5.0,No
ORD-100321,2023-01-10,East,Furniture,Consumer,8,450.96,0.0,3607.68,1026.68,2.0,No
ORD-101341,2023-01-10,West,Electronics,Consumer,2,165.1,0.0,330.2,105.39,3.0,No
ORD-101446,2023-01-10,Central,Furniture,Corporate,8,220.13,0.2,1408.83,164.83,5.0,No
ORD-100846,2023-01-11,South,Office Supplies,Consumer,7,22.52,0.1,141.88,33.04,4.0,No
ORD-102852,2023-01-11,West,Electronics,Consumer,5,109.78,0.2,439.12,85.19,5.0,No
ORD-100777,2023-01-11,North,Electronics,Corporate,2,109.12,0.3,152.77,14.07,1.0,No
ORD-102141,2023-01-11,South,Office Supplies,Consumer,1,41.32,0.0,41.32,11.1,5.0,Yes
ORD-101732,2023-01-12,West,Furniture,Consumer,3,298.63,0.05,851.1,263.29,6.0,No
ORD-101956,2023-01-12,East,Clothing,Consumer,3,36.46,0.0,109.38,37.22,5.0,No
ORD-101043,2023-01-12,West,Clothing,Consumer,7,52.35,0.0,366.45,112.85,2.0,No
ORD-101371,2023-01-13,Central,Electronics,Home Office,2,97.02,0.0,194.04,85.58,7.0,No
ORD-102427,2023-01-13,West,Clothing,Consumer,8,139.48,0.05,1060.05,293.74,4.0,No
ORD-101192,2023-01-13,Central,Office Supplies,Corporate,5,19.0,0.1,85.5,16.88,4.0,No
ORD-102053,2023-01-14,West,Electronics,Corporate,2,109.93,0.0,219.86,47.24,3.0,No
ORD-100967,2023-01-14,North,Electronics,Consumer,8,552.32,0.05,4197.63,857.4,2.0,No
ORD-102270,2023-01-14,East,Clothing,Consumer,8,36.8,0.0,294.4,92.88,3.0,No
ORD-101885,2023-01-14,South,Clothing,Consumer,3,19.75,0.1,53.32,11.89,2.0,No
ORD-101468,2023-01-14,West,Clothing,Corporate,1,86.02,0.2,68.82,6.59,4.0,No
ORD-101908,2023-01-14,West,Office Supplies,Consumer,6,45.36,0.0,272.16,61.59,5.0,No
ORD-102547,2023-01-14,North,Office Supplies,Corporate,2,66.71,0.3,93.39,13.84,4.0,No
ORD-100461,2023-01-15,North,Office Supplies,Corporate,4,32.94,0.1,118.58,27.42,6.0,No
ORD-102860,2023-01-16,South,Office Supplies,Consumer,5,18.71,0.15,79.52,9.08,6.0,No
ORD-102521,2023-01-16,East,Electronics,Consumer,4,248.99,0.0,995.96,363.12,7.0,No
ORD-101408,2023-01-16,Central,Clothing,Corporate,7,46.7,0.15,277.86,44.08,3.0,No
ORD-101349,2023-01-16,North,Clothing,Consumer,1,80.15,0.0,80.15,18.26,5.0,No
ORD-101297,2023-01-17,North,Office Supplies,Consumer,2,40.16,0.1,72.29,16.63,4.0,No
ORD-102998,2023-01-17,Central,Clothing,Home Office,1,62.1,0.15,52.78,9.28,3.0,No
ORD-102659,2023-01-17,North,Office Supplies,Consumer,2,32.89,0.1,59.2,13.13,5.0,Yes
ORD-100401,2023-01-17,Central,Clothing,Consumer,2,17.97,0.15,30.55,7.3,7.0,Yes
ORD-101762,2023-01-17,North,Clothing,Consumer,5,81.26,0.2,325.04,54.85,3.0,No
ORD-101841,2023-01-17,East,Furniture,Consumer,4,90.83,0.2,290.66,36.23,5.0,No
ORD-102986,2023-01-18,North,Electronics,Consumer,3,284.16,0.15,724.61,170.16,1.0,Yes
ORD-100569,2023-01-18,East,Furniture,Home Office,4,176.89,0.15,601.43,189.82,8.0,No
ORD-102862,2023-01-18,South,Office Supplies,Home Office,6,26.13,0.0,156.78,53.05,5.0,No
ORD-102192,2023-01-19,West,Electronics,Consumer,5,156.44,0.0,782.2,245.34,7.0,No
ORD-100752,2023-01-19,North,Office Supplies,Corporate,4,41.31,0.1,148.72,30.15,3.0,No
ORD-102778,2023-01-19,North,Office Supplies,Home Office,3,44.95,0.1,121.37,32.02,3.0,No
ORD-102416,2023-01-19,North,Electronics,Home Office,3,96.83,0.0,290.49,115.08,2.0,No
ORD-102991,2023-01-19,West,Office Supplies,Consumer,4,17.39,0.0,69.56,22.11,3.0,No
ORD-102751,2023-01-20,West,Furniture,Consumer,8,467.06,0.05,3549.66,968.9,,Yes
ORD-101736,2023-01-20,Central,Office Supplies,Corporate,7,22.49,0.2,125.94,23.54,5.0,Yes
ORD-102216,2023-01-21,North,Furniture,Home Office,8,204.72,0.0,1637.76,597.35,2.0,No
ORD-102589,2023-01-21,South,Office Supplies,Corporate,2,56.07,0.0,112.14,31.26,,No
ORD-100500,2023-01-21,West,Furniture,Home Office,4,142.53,0.0,570.12,171.82,2.0,Yes
ORD-101322,2023-01-22,North,Office Supplies,Consumer,4,38.89,0.0,155.56,47.25,2.0,No
ORD-100597,2023-01-22,East,Clothing,Consumer,2,44.53,0.1,80.15,19.36,3.0,Yes
ORD-102228,2023-01-22,North,Electronics,Home Office,1,396.09,0.0,396.09,89.35,8.0,No
ORD-101568,2023-01-22,East,Office Supplies,Home Office,3,55.44,0.0,166.32,51.01,5.0,No
ORD-101332,2023-01-22,East,Electronics,Consumer,2,121.6,0.0,243.2,73.87,3.0,No
ORD-100288,2023-01-22,East,Electronics,Consumer,2,144.15,0.1,259.47,32.96,5.0,No
ORD-100705,2023-01-23,East,Electronics,Consumer,1,276.74,0.15,235.23,50.77,4.0,No
ORD-101630,2023-01-23,East,Electronics,Consumer,1,262.45,0.0,262.45,91.17,2.0,No
ORD-102011,2023-01-23,South,Office Supplies,Corporate,4,24.66,0.15,83.84,16.86,3.0,No
ORD-101650,2023-01-23,South,Clothing,Corporate,4,71.99,0.15,244.77,47.67,4.0,No
ORD-101151,2023-01-23,Central,Office Supplies,Corporate,2,20.26,0.2,32.42,4.69,6.0,No
ORD-100903,2023-01-23,East,Office Supplies,Consumer,8,96.38,0.05,732.49,241.24,3.0,No
ORD-101848,2023-01-23,South,Electronics,Consumer,4,252.49,0.0,1009.96,340.01,2.0,No
ORD-102796,2023-01-24,East,Office Supplies,Consumer,7,18.35,0.15,109.18,26.9,2.0,No
ORD-102669,2023-01-25,East,Clothing,Home Office,4,39.78,0.1,143.21,35.23,5.0,Yes
ORD-101133,2023-01-25,West,Office Supplies,Consumer,7,42.19,0.1,265.8,52.3,5.0,No
ORD-100313,2023-01-25,South,Office Supplies,Consumer,5,32.82,0.05,155.89,43.63,3.0,No
ORD-100573,2023-01-25,West,Furniture,Corporate,2,144.89,0.15,246.31,63.51,5.0,Yes
ORD-102372,2023-01-26,South,Electronics,Consumer,4,95.75,,363.85,87.37,7.0,No
ORD-100474,2023-01-26,South,Office Supplies,Consumer,8,78.92,0.2,505.09,46.85,1.0,No
ORD-100159,2023-01-26,West,Furniture,Home Office,1,516.18,0.0,516.18,144.93,1.0,No
ORD-102043,2023-01-26,Central,Furniture,Consumer,4,142.42,0.05,541.2,133.5,8.0,No
ORD-100310,2023-01-26,East,Clothing,Consumer,4,130.42,0.0,521.68,150.64,4.0,No
ORD-102449,2023-01-27,East,Furniture,Corporate,3,278.87,0.0,836.61,308.75,4.0,No
ORD-101355,2023-01-27,North,Office Supplies,Consumer,4,32.54,0.0,130.16,50.46,10.0,No
ORD-100905,2023-01-27,East,Office Supplies,Corporate,2,43.09,0.15,73.25,13.63,8.0,No
ORD-101236,2023-01-27,North,Furniture,Consumer,6,230.83,0.1,1246.48,253.65,2.0,Yes
ORD-100885,2023-01-28,South,Electronics,Home Office,6,116.77,0.1,630.56,166.46,10.0,No
ORD-101768,2023-01-28,North,Electronics,Home Office,7,235.35,0.05,1565.08,517.85,5.0,No
ORD-102546,2023-01-28,Central,Clothing,Corporate,7,29.41,0.3,144.11,4.93,5.0,No
ORD-101316,2023-01-28,East,Clothing,Home Office,8,68.3,0.1,491.76,107.45,8.0,Yes
ORD-101409,2023-01-28,West,Electronics,Consumer,1,105.61,0.2,84.49,8.46,1.0,No
ORD-102813,2023-01-29,North,Office Supplies,Home Office,6,31.58,0.0,189.48,65.14,7.0,No
ORD-102770,2023-01-29,North,Clothing,Consumer,4,134.05,0.05,509.39,130.1,4.0,No
ORD-100530,2023-01-29,West,Electronics,Consumer,2,267.92,0.05,509.05,109.83,5.0,No
ORD-101181,2023-01-29,North,Electronics,Consumer,3,385.54,0.15,983.13,231.95,3.0,No
ORD-100834,2023-01-29,West,Furniture,Consumer,7,215.23,0.05,1431.28,420.1,3.0,No
ORD-102324,2023-01-30,South,Electronics,Home Office,4,108.9,0.0,435.6,161.95,5.0,No
ORD-102250,2023-01-30,East,Office Supplies,Consumer,8,24.06,0.05,182.86,54.17,3.0,No
ORD-100588,2023-01-31,North,Office Supplies,Home Office,2,91.23,0.05,173.34,44.01,1.0,No
ORD-102239,2023-01-31,East,Office Supplies,Consumer,3,66.38,0.1,179.23,47.94,10.0,No
ORD-102149,2023-01-31,North,Electronics,Consumer,1,632.01,0.15,537.21,158.4,2.0,No
ORD-102831,2023-01-31,East,Furniture,Corporate,3,236.33,0.2,567.19,155.01,4.0,No
ORD-101329,2023-01-31,North,Clothing,Consumer,8,87.17,0.05,662.49,193.63,4.0,Yes
ORD-100292,2023-02-01,Central,Office Supplies,Home Office,4,25.0,0.0,100.0,31.45,6.0,No
ORD-100022,2023-02-01,Central,Office Supplies,Consumer,2,33.15,0.0,66.3,19.76,6.0,No
ORD-102045,2023-02-01,North,Clothing,Consumer,7,63.0,0.0,441.0,150.78,4.0,No
ORD-102191,2023-02-01,East,Office Supplies,Home Office,2,34.81,0.1,62.66,17.35,5.0,No
ORD-101197,2023-02-01,East,Clothing,Home Office,8,73.3,0.0,586.4,238.21,3.0,Yes
ORD-102305,2023-02-01,South,Office Supplies,Consumer,2,33.77,0.0,67.54,20.85,3.0,No
ORD-102953,2023-02-01,Central,Electronics,Home Office,3,174.6,0.1,471.42,92.17,4.0,Yes
ORD-101219,2023-02-01,North,Office Supplies,Consumer,8,56.19,0.15,382.09,72.91,3.0,No
ORD-101859,2023-02-01,South,Electronics,Corporate,4,63.0,0.2,201.6,22.03,,No
ORD-102375,2023-02-02,North,Office Supplies,Corporate,1,37.46,0.0,37.46,12.09,6.0,No
ORD-102806,2023-02-02,South,Office Supplies,Consumer,3,18.98,0.15,48.4,6.87,7.0,No
ORD-100444,2023-02-02,South,Clothing,Consumer,8,66.77,0.0,534.16,160.41,5.0,No
ORD-100970,2023-02-02,North,Clothing,Corporate,8,118.61,0.3,664.22,9.63,4.0,No
ORD-102020,2023-02-02,East,Clothing,Consumer,4,71.03,0.0,284.12,79.37,7.0,No
ORD-101743,2023-02-03,Central,Furniture,Home Office,5,43.41,0.0,217.05,65.95,,No
ORD-101821,2023-02-03,East,Electronics,Corporate,1,72.79,0.2,58.23,9.53,3.0,Yes
ORD-101198,2023-02-04,South,Electronics,Corporate,7,235.88,0.1,1486.04,253.85,4.0,No
ORD-101733,2023-02-04,North,Electronics,Consumer,3,118.15,0.1,319.01,88.41,6.0,No
ORD-102202,2023-02-04,Central,Electronics,Consumer,3,62.1,0.05,176.98,39.44,5.0,Yes
ORD-100369,2023-02-04,Central,Furniture,Corporate,8,470.83,0.2,3013.31,318.38,5.0,Yes
ORD-101187,2023-02-05,Central,Electronics,Consumer,2,99.56,0.0,199.12,60.84,4.0,No
ORD-100132,2023-02-05,East,Electronics,Corporate,4,309.04,0.15,1050.74,130.8,5.0,No
ORD-101960,2023-02-05,East,Electronics,Consumer,3,156.95,0.15,400.22,98.64,8.0,No
ORD-102070,2023-02-05,West,Furniture,Consumer,4,265.99,0.0,1063.96,397.84,,No
ORD-100324,2023-02-05,West,Office Supplies,Corporate,6,48.81,0.2,234.29,21.25,5.0,No
ORD-100081,2023-02-05,South,Electronics,Consumer,4,354.07,0.1,1274.65,244.0,4.0,No
ORD-101835,2023-02-06,North,Clothing,Consumer,6,160.29,0.0,961.74,296.48,3.0,No
ORD-101523,2023-02-06,West,Clothing,Consumer,1,101.19,0.0,101.19,21.02,,No
ORD-101756,2023-02-06,North,Furniture,Consumer,4,582.47,0.05,2213.39,643.09,3.0,No
ORD-102959,2023-02-06,Central,Furniture,Corporate,2,88.03,0.15,149.65,26.58,4.0,No
ORD-101454,2023-02-06,South,Office Supplies,Home Office,4,49.14,0.15,167.08,28.92,3.0,Yes
ORD-101388,2023-02-06,Central,Office Supplies,Consumer,5,33.11,0.05,157.27,43.01,7.0,No
ORD-101789,2023-02-07,North,Office Supplies,Consumer,6,43.21,0.05,246.3,65.18,4.0,No
ORD-102874,2023-02-07,North,Electronics,Consumer,4,101.15,0.05,384.37,86.85,8.0,Yes
ORD-102516,2023-02-07,North,Electronics,Home Office,7,173.32,0.05,1152.58,322.05,4.0,No
ORD-102331,2023-02-07,South,Office Supplies,Corporate,1,36.64,0.2,29.31,5.84,1.0,No
ORD-100528,2023-02-07,West,Clothing,Consumer,3,79.16,0.2,189.98,25.31,3.0,No
ORD-101210,2023-02-07,West,Office Supplies,Consumer,4,36.05,0.15,122.57,28.12,3.0,Yes
ORD-101564,2023-02-08,West,Electronics,Consumer,2,121.95,0.0,243.9,72.98,5.0,No
ORD-101131,2023-02-08,East,Office Supplies,Corporate,1,81.48,0.15,69.26,16.85,5.0,No
ORD-100409,2023-02-08,Central,Electronics,Consumer,4,80.46,0.1,289.66,72.03,5.0,No
ORD-101987,2023-02-08,West,Electronics,Home Office,3,82.91,0.0,248.73,85.3,5.0,No
ORD-101075,2023-02-08,South,Furniture,Consumer,3,229.28,0.05,653.45,226.1,8.0,No
ORD-100012,2023-02-09,East,Office Supplies,Consumer,3,34.05,0.1,91.93,19.97,5.0,No
ORD-102683,2023-02-09,East,Office Supplies,Home Office,6,34.37,0.0,206.22,70.04,7.0,No
ORD-102018,2023-02-09,East,Office Supplies,Consumer,8,27.14,0.0,217.12,65.51,4.0,No
ORD-100101,2023-02-09,West,Electronics,Consumer,6,256.76,0.0,1540.56,465.86,3.0,No
ORD-102772,2023-02-10,Central,Electronics,Corporate,1,126.14,0.0,126.14,41.02,6.0,No
ORD-100046,2023-02-10,South,Office Supplies,Consumer,3,32.49,0.15,82.85,18.41,2.0,No
ORD-101725,2023-02-10,North,Furniture,Consumer,6,68.73,0.0,412.38,115.87,4.0,No
ORD-100643,2023-02-10,North,Electronics,Consumer,7,123.97,0.0,867.79,248.62,5.0,No
ORD-100455,2023-02-10,North,Office Supplies,Corporate,2,33.99,0.15,57.78,4.44,4.0,No
ORD-101277,2023-02-10,North,Clothing,Corporate,3,43.2,0.1,116.64,30.01,3.0,No
ORD-102940,2023-02-10,Central,Office Supplies,Consumer,7,22.07,0.0,154.49,43.73,7.0,Yes
ORD-102273,2023-02-10,West,Clothing,Corporate,8,67.04,0.3,375.42,15.41,7.0,No
ORD-102313,2023-02-10,North,Office Supplies,Consumer,5,41.6,0.0,208.0,80.75,5.0,No
ORD-101646,2023-02-10,South,Clothing,Consumer,2,35.28,0.0,70.56,25.1,5.0,Yes
ORD-101905,2023-02-10,East,Office Supplies,Consumer,1,54.69,0.15,46.49,8.56,4.0,No
ORD-100638,2023-02-11,West,Clothing,Corporate,5,32.25,0.1,145.12,44.48,6.0,Yes
ORD-100251,2023-02-11,Central,Office Supplies,Consumer,2,45.86,0.1,82.55,23.0,5.0,No
ORD-100765,2023-02-11,North,Office Supplies,Corporate,6,52.26,0.1,282.2,41.58,8.0,No
ORD-100880,2023-02-12,South,Office Supplies,Consumer,8,19.61,0.0,156.88,46.96,7.0,No
ORD-101660,2023-02-12,North,Office Supplies,Consumer,1,40.99,0.0,40.99,14.15,3.0,No
ORD-101838,2023-02-12,West,Electronics,Corporate,6,89.72,0.0,538.32,188.7,3.0,No
ORD-102410,2023-02-12,West,Electronics,Corporate,5,137.0,0.1,616.5,150.68,2.0,No
ORD-101843,2023-02-12,Central,Furniture,Corporate,4,1712.68,0.1,6165.65,1287.99,6.0,Yes
ORD-100263,2023-02-13,North,Office Supplies,Corporate,6,49.79,0.2,238.99,26.51,1.0,No
ORD-100266,2023-02-13,South,Electronics,Consumer,3,471.94,0.0,1415.82,363.25,4.0,No
ORD-102667,2023-02-13,North,Clothing,Corporate,1,143.54,0.0,143.54,38.55,6.0,Yes
ORD-100248,2023-02-13,South,Clothing,Corporate,3,32.17,0.2,77.21,10.05,2.0,Yes
ORD-102632,2023-02-13,Central,Furniture,Consumer,8,560.06,0.05,4256.46,970.28,6.0,No
ORD-100739,2023-02-13,South,Furniture,Consumer,7,81.55,0.1,513.76,83.31,2.0,No
ORD-102112,2023-02-13,North,Office Supplies,Home Office,7,29.99,0.05,199.43,61.29,5.0,No
ORD-101385,2023-02-13,North,Clothing,Corporate,6,24.72,0.0,148.32,47.62,6.0,No
ORD-101259,2023-02-13,Central,Electronics,Consumer,5,191.69,0.1,862.6,134.62,3.0,No
ORD-102600,2023-02-14,South,Office Supplies,Corporate,8,32.59,0.0,260.72,85.21,5.0,No
ORD-102567,2023-02-14,North,Electronics,Consumer,7,160.42,0.0,1122.94,302.1,5.0,No
ORD-100335,2023-02-14,East,Furniture,Consumer,8,335.6,0.05,2550.56,655.97,4.0,No
ORD-101600,2023-02-14,Central,Office Supplies,Home Office,2,40.31,0.1,72.56,14.97,7.0,No
ORD-101461,2023-02-14,East,Furniture,Corporate,6,196.27,0.0,1177.62,363.71,5.0,No
ORD-101993,2023-02-15,North,Furniture,Home Office,7,90.5,0.05,601.82,188.54,1.0,No
ORD-100943,2023-02-15,South,Office Supplies,Corporate,1,31.32,0.15,26.62,6.76,7.0,No
ORD-101593,2023-02-15,South,Electronics,Corporate,6,449.87,0.15,2294.34,488.41,4.0,No
ORD-102847,2023-02-16,North,Electronics,Corporate,5,77.19,0.1,347.36,84.47,6.0,No
ORD-102563,2023-02-16,East,Electronics,Consumer,6,342.4,0.0,2054.4,616.64,3.0,No
ORD-101220,2023-02-16,North,Electronics,Consumer,8,341.95,0.0,2735.6,892.53,2.0,No
ORD-101573,2023-02-16,West,Furniture,Consumer,1,255.14,0.1,229.63,45.23,2.0,No
ORD-100177,2023-02-16,Central,Furniture,Consumer,8,156.17,0.05,1186.89,344.4,,No
ORD-101525,2023-02-16,North,Office Supplies,Consumer,2,29.49,0.0,58.98,18.05,1.0,No
ORD-101059,2023-02-16,West,Clothing,Consumer,6,57.12,0.05,325.58,88.22,4.0,No
ORD-100631,2023-02-17,West,Clothing,Consumer,2,48.94,0.05,92.99,21.22,4.0,No
ORD-101954,2023-02-17,Central,Electronics,Home Office,6,119.64,0.0,717.84,189.15,5.0,No
ORD-101867,2023-02-18,North,Electronics,Consumer,4,613.34,0.0,2453.36,799.3,6.0,No
ORD-100198,2023-02-19,North,Electronics,Consumer,2,122.76,,245.52,77.88,5.0,No
ORD-100116,2023-02-19,West,Electronics,Consumer,6,299.39,0.0,1796.34,560.9,5.0,No
ORD-100971,2023-02-20,North,Electronics,Consumer,1,38.97,0.0,38.97,12.75,2.0,No
ORD-100089,2023-02-20,East,Clothing,Corporate,3,42.26,0.15,107.76,22.85,3.0,No
ORD-102371,2023-02-20,South,Clothing,Corporate,4,261.38,0.1,940.97,252.29,2.0,No
ORD-100692,2023-02-20,North,Electronics,Home Office,8,207.48,0.05,1576.85,399.13,7.0,No
ORD-102823,2023-02-21,Central,Electronics,Corporate,3,83.96,0.0,251.88,97.56,6.0,No
ORD-102171,2023-02-21,North,Office Supplies,Corporate,4,38.35,0.2,122.72,15.31,1.0,No
ORD-100584,2023-02-21,Central,Clothing,Consumer,7,74.44,0.05,495.03,165.06,8.0,No
ORD-100996,2023-02-21,East,Electronics,Corporate,8,214.83,0.0,1718.64,609.28,2.0,No
ORD-100119,2023-02-22,East,Electronics,Consumer,5,67.43,0.0,337.15,107.57,,No
ORD-100723,2023-02-22,Central,Furniture,Consumer,1,156.42,0.0,156.42,47.49,5.0,No
ORD-100501,2023-02-22,Central,Office Supplies,Consumer,4,30.33,0.0,121.32,30.89,8.0,No
ORD-101598,2023-02-23,West,Furniture,Consumer,5,258.07,0.1,1161.32,172.06,,No
ORD-101983,2023-02-23,North,Electronics,Home Office,5,208.46,0.15,885.96,229.52,3.0,No
ORD-102774,2023-02-23,West,Electronics,Corporate,8,142.78,0.0,1142.24,375.64,3.0,No
ORD-101898,2023-02-23,North,Clothing,Home Office,2,38.7,0.0,77.4,24.01,3.0,No
ORD-102215,2023-02-23,North,Furniture,Consumer,2,152.83,0.1,275.09,49.23,6.0,No
ORD-102255,2023-02-24,East,Clothing,Consumer,1,58.49,0.05,55.57,14.82,6.0,Yes
ORD-100260,2023-02-24,North,Electronics,Home Office,3,104.1,0.1,281.07,66.38,4.0,No
ORD-101358,2023-02-24,West,Office Supplies,Consumer,3,36.14,0.1,97.58,20.72,7.0,No
ORD-101348,2023-02-24,South,Office Supplies,Consumer,7,32.31,0.0,226.17,67.54,3.0,No
ORD-102872,2023-02-24,North,Electronics,Consumer,4,170.95,0.05,649.61,179.15,2.0,No
ORD-100298,2023-02-24,West,Office Supplies,Consumer,4,16.99,0.05,64.56,16.78,5.0,No
ORD-102148,2023-02-24,West,Clothing,Home Office,6,73.66,0.0,441.96,130.13,6.0,No
ORD-100534,2023-02-25,North,Office Supplies,Consumer,6,98.39,0.05,560.82,233.16,5.0,No
ORD-102718,2023-02-25,North,Electronics,Corporate,4,153.08,,520.47,122.97,3.0,No
ORD-101807,2023-02-26,East,Office Supplies,Consumer,1,34.56,0.15,29.38,7.18,4.0,No
ORD-101757,2023-02-26,Central,Clothing,Consumer,7,69.15,0.0,484.05,166.66,3.0,No
ORD-102969,2023-02-26,North,Office Supplies,Corporate,1,64.06,,44.84,3.02,5.0,No
ORD-101707,2023-02-26,South,Furniture,Consumer,8,187.06,0.0,1496.48,467.57,3.0,No
ORD-100772,2023-02-26,East,Office Supplies,Consumer,8,61.11,0.05,464.44,107.03,7.0,No
ORD-101361,2023-02-27,South,Office Supplies,Corporate,2,46.32,0.2,74.11,17.77,7.0,No
ORD-100861,2023-02-27,West,Electronics,Home Office,1,421.03,0.0,421.03,111.2,4.0,No
ORD-101526,2023-02-28,South,Office Supplies,Corporate,8,50.83,0.15,345.64,56.41,5.0,No
ORD-101091,2023-02-28,East,Office Supplies,Corporate,5,40.37,0.2,161.48,13.99,5.0,Yes
ORD-102349,2023-02-28,North,Electronics,Consumer,8,265.85,0.15,1807.78,309.42,2.0,No
ORD-101129,2023-02-28,Central,Clothing,Consumer,6,120.34,0.1,649.84,166.52,8.0,No
ORD-101610,2023-02-28,North,Clothing,Corporate,7,32.29,0.2,180.82,19.31,6.0,No
ORD-101842,2023-03-01,North,Electronics,Consumer,4,186.95,0.0,747.8,296.92,4.0,Yes
ORD-101223,2023-03-01,East,Electronics,Consumer,1,284.75,0.1,256.28,51.44,2.0,No
ORD-102656,2023-03-01,South,Clothing,Consumer,8,75.17,0.0,601.36,226.37,3.0,No
ORD-101163,2023-03-01,North,Furniture,Corporate,1,579.04,0.15,492.18,86.73,2.0,No
ORD-101127,2023-03-01,West,Office Supplies,Consumer,1,37.32,0.1,33.59,7.34,2.0,No
ORD-101350,2023-03-02,West,Electronics,Consumer,6,289.43,0.15,1476.09,208.16,7.0,No
ORD-101099,2023-03-02,North,Clothing,Consumer,6,48.68,0.05,277.48,80.6,6.0,No
ORD-100603,2023-03-03,West,Electronics,Consumer,2,292.75,0.0,585.5,175.35,4.0,No
