CustomerID,Age,Gender,TenureMonths,Contract,InternetService,PaperlessBilling,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,Churn
CUST-70027,42,Male,13,Month-to-month,DSL,No,32.22,,4,8.5,Yes
CUST-70028,41,Male,8,Month-to-month,DSL,Yes,32.08,253.53,1,8.9,Yes
CUST-70029,18,Female,28,Month-to-month,Fiber optic,No,53.33,1404.27,2,6.3,Yes
CUST-70030,49,Female,19,Month-to-month,Fiber optic,Yes,74.62,1396.1,1,9.6,Yes
CUST-70031,47,Male,48,Two year,Fiber optic,No,70.3,3334.7,6,6.2,No
CUST-70032,25,Male,36,Month-to-month,DSL,No,44.44,1648.5,0,9.4,No
CUST-70033,68,Male,13,One year,DSL,No,40.99,508.91,2,9.3,Yes
CUST-70034,24,Female,2,Month-to-month,DSL,Yes,48.6,95.29,1,10.0,Yes
CUST-70035,18,Male,3,Month-to-month,DSL,No,43.21,133.11,3,8.2,Yes
CUST-70036,18,Male,19,Month-to-month,Fiber optic,No,63.3,1211.03,5,4.4,Yes
CUST-70037,41,Male,2,Two year,DSL,Yes,50.05,94.64,0,,No
CUST-70038,46,Male,13,Month-to-month,Fiber optic,No,70.73,916.15,2,8.2,Yes
CUST-70039,47,Female,12,One year,Fiber optic,No,65.05,784.61,3,7.9,Yes
CUST-70040,36,Male,15,Month-to-month,Fiber optic,Yes,74.35,1145.87,0,7.6,Yes
CUST-70041,30,Female,27,Two year,Fiber optic,No,76.56,2036.44,2,9.7,No
CUST-70042,53,Female,14,Month-to-month,Fiber optic,Yes,53.2,775.51,3,8.0,Yes
CUST-70043,28,Male,6,Month-to-month,Fiber optic,Yes,71.13,401.6,2,6.1,Yes
CUST-70044,24,Female,48,Month-to-month,Fiber optic,No,63.78,3100.48,3,7.6,Yes
CUST-70045,61,Female,5,Month-to-month,DSL,Yes,32.95,174.26,3,6.3,No
CUST-70046,43,Male,4,One year,DSL,Yes,53.46,205.98,0,9.8,No
CUST-70047,48,Female,5,Month-to-month,Fiber optic,Yes,52.47,260.39,2,8.0,Yes
CUST-70048,50,Male,51,One year,DSL,No,55.33,2980.5,1,7.3,No
CUST-70049,33,Male,10,One year,DSL,No,46.26,479.34,1,9.0,No
CUST-70050,34,Male,11,Month-to-month,No service,Yes,18.0,194.09,2,5.5,Yes
CUST-70051,50,Male,2,Month-to-month,No service,No,18.0,35.94,1,7.3,Yes
CUST-70052,32,Male,41,Two year,Fiber optic,Yes,55.83,2357.82,1,8.0,No
CUST-70053,46,Female,23,Month-to-month,Fiber optic,Yes,72.2,1617.59,3,7.5,No
CUST-70054,40,Male,4,One year,DSL,No,30.16,118.19,0,,No
CUST-70055,24,Female,10,One year,Fiber optic,No,69.15,679.31,0,10.0,No
CUST-70056,55,Female,7,One year,DSL,Yes,36.33,,1,10.0,Yes
CUST-70057,23,Male,8,Two year,Fiber optic,No,68.79,528.87,0,,No
CUST-70058,44,Female,23,Month-to-month,DSL,No,45.12,1014.86,0,9.9,No
CUST-70059,42,Male,32,Two year,No service,Yes,18.0,599.78,2,7.6,No
CUST-70060,59,Male,27,One year,DSL,Yes,49.48,1365.49,2,8.4,No
CUST-70061,25,Male,12,One year,Fiber optic,Yes,55.39,648.78,2,5.8,No
CUST-70062,33,Male,13,One year,DSL,Yes,43.1,547.94,0,9.0,No
CUST-70063,40,Female,1,Month-to-month,Fiber optic,Yes,55.97,56.07,3,8.3,Yes
CUST-70064,44,Female,34,One year,Fiber optic,Yes,51.87,1702.89,0,7.0,No
CUST-70065,53,Female,7,One year,No service,No,18.0,122.94,2,8.3,No
CUST-70066,45,Female,2,Two year,DSL,Yes,52.54,111.35,0,10.0,No
CUST-70067,41,Male,48,One year,DSL,Yes,39.24,1912.16,3,9.2,No
CUST-70068,55,Female,9,One year,DSL,Yes,37.05,315.12,3,6.1,Yes
CUST-70069,70,Female,7,Two year,DSL,Yes,38.39,281.88,3,8.4,No
CUST-70070,22,Male,25,Month-to-month,No service,Yes,25.43,604.41,1,7.6,No
CUST-70071,41,Female,24,Month-to-month,DSL,Yes,26.17,624.16,3,7.3,Yes
CUST-70072,52,Female,7,Month-to-month,DSL,Yes,50.53,339.9,1,6.6,No
CUST-70073,42,Female,5,Two year,No service,No,18.24,95.83,0,6.8,No
CUST-70074,61,Male,13,Month-to-month,Fiber optic,Yes,77.11,,6,4.9,Yes
CUST-70075,36,Female,38,Month-to-month,Fiber optic,Yes,72.22,2778.9,1,8.8,No
CUST-70076,27,Female,19,Two year,DSL,Yes,45.54,881.47,3,8.0,No
CUST-70077,53,Male,21,One year,Fiber optic,No,44.57,938.21,0,10.0,No
CUST-70078,18,Male,10,Month-to-month,DSL,Yes,27.11,261.4,0,8.6,Yes
CUST-70079,34,Male,34,Two year,Fiber optic,Yes,59.83,2088.27,4,6.7,No
CUST-70080,74,Male,5,Month-to-month,Fiber optic,No,84.29,408.84,2,6.3,Yes
CUST-70081,41,Female,31,Month-to-month,No service,Yes,25.51,812.69,1,9.9,No
CUST-70082,46,Male,17,Month-to-month,DSL,Yes,32.13,573.9,2,9.5,No
CUST-70083,28,Female,28,Two year,DSL,Yes,33.25,897.81,1,7.4,No
CUST-70084,41,Male,58,Month-to-month,Fiber optic,Yes,62.78,3835.26,1,10.0,No
CUST-70085,39,Male,8,One year,No service,Yes,18.31,140.6,1,9.4,No
CUST-70086,67,Male,11,Month-to-month,No service,No,23.49,259.57,2,5.6,Yes
CUST-70087,27,Female,28,Two year,DSL,Yes,36.92,1059.76,0,6.9,No
CUST-70088,18,Female,4,One year,No service,No,18.0,74.02,2,8.1,No
CUST-70089,47,Female,33,Month-to-month,No service,No,30.2,995.79,1,10.0,No
CUST-70090,63,Female,17,Month-to-month,Fiber optic,Yes,60.0,977.43,4,7.9,Yes
CUST-70091,31,Female,9,Two year,DSL,Yes,34.82,303.61,0,9.8,No
CUST-70092,18,Male,21,Month-to-month,Fiber optic,No,59.1,1303.03,1,10.0,Yes
CUST-70093,26,Male,30,Month-to-month,Fiber optic,No,63.18,1953.17,4,5.3,Yes
CUST-70094,47,Male,40,Two year,DSL,Yes,42.4,1731.89,0,8.2,No
CUST-70095,33,Male,10,One year,DSL,Yes,38.61,385.8,2,4.9,Yes
CUST-70096,42,Male,9,One year,DSL,Yes,30.71,266.88,5,7.0,No
CUST-70097,18,Male,10,One year,Fiber optic,No,63.23,610.29,4,5.2,Yes
CUST-70098,34,Female,13,Month-to-month,No service,Yes,25.69,353.66,0,9.4,Yes
CUST-70099,52,Female,9,Month-to-month,Fiber optic,No,61.45,559.98,1,8.4,Yes
CUST-70100,37,Female,8,Month-to-month,No service,Yes,23.91,183.85,2,10.0,Yes
CUST-70101,27,Female,24,Month-to-month,DSL,No,30.96,704.71,0,9.9,No
CUST-70102,56,Male,19,Month-to-month,DSL,Yes,40.06,775.58,1,9.8,Yes
CUST-70103,55,Male,13,Month-to-month,No service,No,29.64,395.28,1,7.6,Yes
CUST-70104,34,Male,7,One year,Fiber optic,Yes,73.31,485.59,4,5.1,Yes
CUST-70105,31,Male,38,Month-to-month,Fiber optic,No,64.17,2544.81,3,5.6,Yes
CUST-70106,59,Male,21,Month-to-month,No service,Yes,27.08,545.07,1,8.9,Yes
CUST-70107,33,Male,7,Month-to-month,Fiber optic,Yes,62.4,436.72,4,5.1,Yes
CUST-70108,39,Male,11,Month-to-month,DSL,No,32.57,340.34,3,5.1,Yes
CUST-70109,66,Female,4,Month-to-month,No service,Yes,18.0,68.85,1,,Yes
CUST-70110,44,Male,33,One year,Fiber optic,No,72.72,2517.77,4,7.7,No
CUST-70111,34,Female,5,Month-to-month,Fiber optic,No,79.6,405.9,4,,No
CUST-70112,18,Female,10,Two year,Fiber optic,Yes,57.06,588.46,3,10.0,No
CUST-70113,41,Female,24,One year,Fiber optic,Yes,72.16,1671.51,0,9.6,Yes
CUST-70114,40,Female,47,One year,Fiber optic,Yes,52.17,2500.88,5,10.0,No
CUST-70115,32,Male,36,Month-to-month,Fiber optic,Yes,68.02,2355.51,1,8.2,Yes
CUST-70116,54,Female,22,One year,No service,Yes,18.0,379.55,0,8.8,No
CUST-70117,23,Male,20,Month-to-month,No service,Yes,18.0,352.05,1,10.0,Yes
CUST-70118,19,Male,35,Month-to-month,Fiber optic,Yes,61.15,2178.49,4,6.7,Yes
CUST-70119,30,Female,9,Two year,DSL,No,28.78,257.02,0,9.1,No
CUST-70120,40,Female,14,Two year,No service,Yes,18.0,262.74,0,10.0,No
CUST-70121,20,Female,16,Month-to-month,Fiber optic,No,58.3,960.04,2,7.1,No
CUST-70122,24,Male,9,One year,No service,Yes,26.88,229.54,0,10.0,No
CUST-70123,29,Male,12,One year,DSL,No,39.72,471.41,0,10.0,No
CUST-70124,40,Female,4,One year,Fiber optic,Yes,64.15,245.08,3,7.2,No
CUST-70125,30,Male,4,Month-to-month,Fiber optic,Yes,53.35,206.95,2,6.8,No
CUST-70126,54,Male,20,One year,DSL,Yes,42.46,814.12,3,5.6,No
CUST-70127,18,Female,2,Two year,Fiber optic,No,51.37,107.46,2,7.9,No
CUST-70128,45,Male,33,Month-to-month,DSL,No,46.01,1512.44,2,7.0,Yes
CUST-70129,31,Female,7,Month-to-month,No service,Yes,43.09,286.28,4,6.4,Yes
CUST-70130,46,Male,12,Month-to-month,DSL,Yes,28.97,357.2,2,4.4,Yes
CUST-70131,67,Male,4,One year,DSL,Yes,41.77,165.07,3,8.8,No
CUST-70132,39,Female,19,Month-to-month,Fiber optic,Yes,54.48,988.44,2,10.0,No
CUST-70133,42,Female,27,One year,DSL,No,30.96,807.45,1,7.5,No
CUST-70134,51,Male,24,Two year,Fiber optic,Yes,78.41,1937.92,4,5.6,No
CUST-70135,21,Female,10,One year,DSL,Yes,23.3,236.32,2,6.9,No
CUST-70136,49,Male,2,One year,DSL,Yes,32.81,64.93,0,10.0,No
CUST-70137,51,Male,8,Month-to-month,No service,No,18.0,137.87,1,8.2,No
CUST-70138,38,Male,20,Two year,No service,Yes,18.32,381.92,2,10.0,No
CUST-70139,49,Male,17,Month-to-month,Fiber optic,Yes,48.62,785.44,4,6.3,Yes
CUST-70140,42,Female,35,Month-to-month,Fiber optic,No,74.81,2580.56,3,7.3,Yes
CUST-70141,29,Female,10,Month-to-month,DSL,Yes,44.75,447.07,1,9.3,Yes
CUST-70142,21,Female,33,Month-to-month,Fiber optic,Yes,80.53,2661.92,1,7.5,Yes
CUST-70143,53,Male,12,Two year,No service,Yes,24.0,285.63,0,9.6,No
CUST-70144,65,Female,43,Two year,Fiber optic,Yes,67.67,2793.99,3,6.1,No
CUST-70145,29,Male,3,Month-to-month,No service,No,24.93,74.43,0,7.0,No
CUST-70146,45,Female,26,Month-to-month,Fiber optic,Yes,58.47,1488.32,2,9.1,Yes
CUST-70147,23,Female,6,Two year,Fiber optic,Yes,54.33,309.48,5,3.9,No
CUST-70148,33,Male,7,One year,DSL,No,40.61,294.3,0,10.0,No
CUST-70149,33,Male,18,Month-to-month,DSL,Yes,30.12,555.1,0,10.0,No
CUST-70150,24,Male,12,Month-to-month,DSL,No,34.44,393.45,1,9.9,No
CUST-70151,39,Male,31,Month-to-month,Fiber optic,Yes,51.32,1560.44,0,9.0,No
CUST-70152,54,Female,34,One year,Fiber optic,Yes,60.47,2082.84,4,7.5,No
CUST-70153,48,Male,32,Two year,No service,Yes,18.0,552.08,0,9.3,No
CUST-70154,33,Male,15,Month-to-month,Fiber optic,No,65.94,937.64,4,8.5,Yes
CUST-70155,60,Male,4,Two year,DSL,Yes,42.54,162.84,1,6.1,No
CUST-70156,43,Male,13,Month-to-month,DSL,Yes,30.33,385.43,1,,No
CUST-70157,65,Male,34,Month-to-month,DSL,No,60.59,2053.5,2,9.3,No
CUST-70158,22,Female,9,Month-to-month,Fiber optic,No,55.91,479.56,1,7.2,No
CUST-70159,82,Male,12,Month-to-month,Fiber optic,No,71.59,873.31,2,6.9,Yes
CUST-70160,37,Female,12,One year,Fiber optic,No,50.24,631.42,5,5.1,No
CUST-70161,23,Male,14,Two year,DSL,Yes,44.61,643.72,1,9.5,No
CUST-70162,25,Male,11,Month-to-month,No service,No,18.0,,1,7.6,No
CUST-70163,53,Female,8,Month-to-month,DSL,No,37.65,314.99,1,6.7,No
CUST-70164,53,Male,21,One year,DSL,No,42.42,909.66,3,8.5,No
CUST-70165,51,Female,11,One year,DSL,No,36.78,418.85,2,6.7,No
CUST-70166,48,Male,16,Month-to-month,Fiber optic,Yes,89.97,1515.06,3,3.5,No
CUST-70167,24,Female,36,Two year,Fiber optic,Yes,76.41,2673.23,2,7.9,No
CUST-70168,38,Male,27,Two year,Fiber optic,Yes,59.61,1685.72,3,7.1,No
CUST-70169,18,Male,15,Month-to-month,No service,Yes,18.0,276.08,0,10.0,No
CUST-70170,28,Male,12,One year,No service,No,23.83,287.5,1,8.2,No
CUST-70171,49,Male,26,One year,No service,Yes,18.0,449.76,1,6.7,No
CUST-70172,18,Male,6,Month-to-month,DSL,Yes,37.4,231.43,2,7.5,Yes
CUST-70173,73,Male,14,Two year,DSL,No,35.8,513.58,0,8.3,No
CUST-70174,58,Male,29,Month-to-month,No service,Yes,18.0,501.11,1,8.0,No
CUST-70175,24,Male,37,Month-to-month,Fiber optic,No,73.68,2632.39,1,10.0,No
CUST-70176,50,Female,8,One year,No service,No,18.0,144.65,3,5.9,Yes
CUST-70177,48,Male,22,Two year,DSL,Yes,48.1,1078.38,1,6.8,No
CUST-70178,38,Female,13,Two year,No service,No,18.0,233.43,2,6.6,No
CUST-70179,48,Female,4,Month-to-month,No service,Yes,18.0,76.18,1,9.0,Yes
CUST-70180,36,Female,14,Month-to-month,Fiber optic,Yes,41.84,576.13,3,8.3,Yes
CUST-70181,40,Male,13,Month-to-month,Fiber optic,Yes,60.55,795.46,3,6.9,Yes
CUST-70182,48,Female,21,Month-to-month,DSL,No,48.03,970.24,3,6.6,Yes
CUST-70183,47,Male,7,Month-to-month,Fiber optic,Yes,64.97,479.43,6,3.2,No
CUST-70184,45,Female,11,Month-to-month,DSL,Yes,47.48,542.05,2,8.6,Yes
CUST-70185,45,Male,7,Month-to-month,Fiber optic,Yes,67.54,472.42,3,,Yes
CUST-70186,54,Female,21,Two year,Fiber optic,Yes,51.89,1043.36,0,7.5,No
CUST-70187,52,Female,13,Month-to-month,DSL,No,42.87,552.98,2,7.2,Yes
CUST-70188,24,Male,11,One year,Fiber optic,No,71.96,813.43,1,9.4,No
CUST-70189,30,Female,13,Month-to-month,DSL,Yes,43.99,551.67,2,7.9,Yes
CUST-70190,61,Male,4,Month-to-month,Fiber optic,Yes,79.17,309.4,2,9.5,No
CUST-70191,63,Female,16,Two year,DSL,No,40.79,667.77,2,,No
CUST-70192,49,Female,34,One year,DSL,Yes,33.2,1094.47,1,10.0,No
CUST-70193,37,Male,16,Month-to-month,DSL,Yes,49.61,809.43,0,9.1,Yes
CUST-70194,52,Male,17,One year,Fiber optic,Yes,61.75,1022.21,0,8.9,Yes
CUST-70195,50,Male,23,Month-to-month,No service,Yes,18.0,413.36,1,8.8,Yes
CUST-70196,19,Male,33,One year,No service,Yes,18.0,586.74,0,9.1,No
CUST-70197,42,Male,11,Month-to-month,No service,Yes,38.72,445.4,1,6.9,No
CUST-70198,21,Female,11,Two year,Fiber optic,Yes,64.04,740.29,2,8.6,No
CUST-70199,35,Male,22,Two year,DSL,Yes,35.6,791.54,2,,No
CUST-70200,41,Male,11,One year,No service,Yes,26.19,275.49,0,8.2,No
CUST-70201,65,Female,14,Month-to-month,DSL,Yes,29.61,395.49,2,8.7,Yes
CUST-70202,18,Male,18,Month-to-month,Fiber optic,No,74.82,1315.65,3,7.2,Yes
CUST-70203,36,Female,10,Two year,Fiber optic,Yes,67.28,672.38,4,6.9,Yes
CUST-70204,51,Male,11,Month-to-month,DSL,No,41.49,452.64,0,10.0,No
CUST-70205,50,Female,25,Month-to-month,Fiber optic,Yes,60.37,1557.9,3,9.2,Yes
CUST-70206,53,Female,28,Month-to-month,DSL,No,40.04,1058.53,3,6.0,Yes
CUST-70207,27,Female,10,One year,DSL,No,42.1,433.22,1,8.9,No
CUST-70208,39,Female,11,One year,DSL,Yes,52.46,609.69,0,7.9,No
CUST-70209,35,Female,12,Month-to-month,Fiber optic,Yes,66.64,796.75,3,8.7,Yes
CUST-70210,59,Male,28,Two year,DSL,Yes,38.35,1052.36,3,8.3,Yes
CUST-70211,39,Male,16,Month-to-month,No service,No,34.94,590.72,2,6.2,No
CUST-70212,41,Female,29,Month-to-month,Fiber optic,No,63.65,1870.67,1,9.5,No
CUST-70213,44,Female,13,Two year,No service,Yes,18.0,245.51,3,6.4,No
CUST-70214,23,Male,9,Two year,Fiber optic,Yes,68.04,619.43,2,8.9,No
CUST-70215,48,Female,27,One year,DSL,Yes,30.44,793.38,2,10.0,No
CUST-70216,26,Female,30,Month-to-month,Fiber optic,Yes,67.61,1995.12,1,7.6,No
CUST-70217,44,Female,18,Month-to-month,Fiber optic,Yes,68.01,1233.42,5,5.3,Yes
CUST-70218,31,Male,10,Month-to-month,No service,Yes,18.0,180.23,1,9.0,No
CUST-70219,58,Male,5,Month-to-month,No service,No,18.0,85.52,3,10.0,Yes
CUST-70220,42,Male,16,Month-to-month,DSL,No,30.84,510.35,2,8.0,No
CUST-70221,68,Female,14,One year,Fiber optic,No,47.67,692.35,0,7.5,Yes
CUST-70222,18,Female,25,One year,No service,No,22.61,596.62,1,7.7,Yes
CUST-70223,60,Male,18,One year,DSL,Yes,39.94,707.79,0,7.8,No
CUST-70224,53,Female,27,One year,Fiber optic,No,69.25,1836.07,1,6.0,No
CUST-70225,45,Female,4,One year,DSL,No,37.8,146.7,2,8.5,Yes
CUST-70226,72,Male,34,Month-to-month,Fiber optic,No,61.76,2131.46,2,,No
CUST-70227,21,Female,13,One year,Fiber optic,No,68.07,887.01,2,9.3,Yes
CUST-70228,44,Male,7,Month-to-month,Fiber optic,Yes,57.65,411.29,5,7.2,Yes
CUST-70229,58,Female,6,Month-to-month,Fiber optic,Yes,70.18,430.56,0,9.7,Yes
CUST-70230,50,Female,25,Month-to-month,DSL,Yes,52.36,1347.38,1,7.9,Yes
CUST-70231,36,Female,40,Month-to-month,No service,Yes,18.0,757.51,4,4.5,No
CUST-70232,50,Female,5,Month-to-month,Fiber optic,No,76.87,375.43,3,8.0,Yes
CUST-70233,35,Male,3,Month-to-month,DSL,No,43.54,127.92,0,10.0,Yes
CUST-70234,36,Male,12,Month-to-month,DSL,Yes,32.91,375.72,2,9.5,No
CUST-70235,32,Female,36,One year,Fiber optic,No,71.36,2595.48,4,5.9,No
CUST-70236,56,Female,8,Month-to-month,DSL,No,46.95,387.95,2,7.4,No
CUST-70237,45,Male,7,Month-to-month,Fiber optic,No,56.55,395.87,1,7.6,No
CUST-70238,76,Male,9,Month-to-month,Fiber optic,No,64.36,550.58,4,6.2,Yes
CUST-70239,53,Female,2,One year,Fiber optic,Yes,78.56,148.96,0,8.1,Yes
CUST-70240,20,Female,25,Month-to-month,DSL,Yes,46.2,1166.14,3,5.7,Yes
CUST-70241,52,Female,15,Month-to-month,No service,Yes,28.48,423.88,1,8.9,Yes
CUST-70242,26,Male,35,Month-to-month,DSL,No,49.59,1656.04,2,7.3,Yes
CUST-70243,37,Male,43,Month-to-month,DSL,No,57.93,2610.95,1,8.3,Yes
CUST-70244,43,Male,2,Month-to-month,DSL,Yes,50.94,101.29,2,7.1,Yes
CUST-70245,26,Male,11,One year,Fiber optic,No,62.19,703.4,2,9.4,No
CUST-70246,34,Female,20,One year,DSL,No,47.64,950.62,1,10.0,No
CUST-70247,32,Female,2,Month-to-month,Fiber optic,Yes,63.73,129.02,3,6.6,No
CUST-70248,43,Male,4,Two year,DSL,No,37.13,142.58,4,8.4,No
CUST-70249,40,Male,19,One year,No service,Yes,20.18,391.05,3,5.3,No
CUST-70250,40,Female,4,Month-to-month,Fiber optic,Yes,70.83,268.16,3,6.1,Yes
CUST-70251,65,Male,23,Month-to-month,Fiber optic,Yes,59.45,1342.54,3,,No
CUST-70252,49,Female,15,Two year,Fiber optic,Yes,69.72,1023.67,5,5.6,No
CUST-70253,47,Male,34,Month-to-month,DSL,Yes,29.31,959.75,0,8.3,No
CUST-70254,56,Male,14,Two year,Fiber optic,Yes,62.76,897.81,2,8.7,Yes
CUST-70255,67,Male,9,Month-to-month,Fiber optic,Yes,54.57,463.82,2,,No
CUST-70256,61,Female,14,Month-to-month,Fiber optic,Yes,59.03,777.44,2,7.8,No
CUST-70257,26,Male,9,Month-to-month,DSL,No,34.16,300.02,2,6.4,No
CUST-70258,48,Female,18,One year,Fiber optic,Yes,49.29,843.08,3,9.3,Yes
CUST-70259,52,Male,8,Two year,DSL,No,46.3,377.86,0,9.0,No
CUST-70260,54,Male,12,Two year,DSL,Yes,23.02,286.42,1,10.0,No
CUST-70261,39,Male,8,One year,No service,Yes,18.0,139.3,2,6.8,No
CUST-70262,42,Female,32,Two year,No service,Yes,18.0,567.1,2,8.3,No
CUST-70263,29,Female,26,Month-to-month,Fiber optic,Yes,68.39,1879.42,0,9.3,No
CUST-70264,36,Male,13,Month-to-month,Fiber optic,No,69.56,899.36,1,8.3,No
CUST-70265,25,Female,8,Month-to-month,DSL,Yes,48.48,366.28,0,9.6,Yes
CUST-70266,59,Male,12,Month-to-month,DSL,No,35.5,448.66,4,6.5,Yes
CUST-70267,34,Male,7,One year,Fiber optic,Yes,56.88,398.67,1,7.5,Yes
CUST-70268,28,Female,36,Two year,DSL,Yes,30.67,1057.73,2,9.6,No
CUST-70269,45,Female,24,One year,DSL,No,38.82,894.73,2,7.4,Yes
CUST-70270,42,Male,49,Month-to-month,Fiber optic,Yes,61.66,2976.33,4,4.6,No
CUST-70271,31,Male,31,Two year,DSL,Yes,27.42,830.95,1,10.0,No
CUST-70272,46,Female,8,Month-to-month,Fiber optic,No,59.61,483.29,3,5.9,No
CUST-70273,32,Female,13,Month-to-month,Fiber optic,Yes,61.98,766.75,3,6.9,Yes
CUST-70274,48,Male,21,One year,Fiber optic,Yes,68.72,1483.04,4,4.4,No
CUST-70275,41,Female,5,Month-to-month,Fiber optic,No,59.03,281.05,0,8.5,Yes
CUST-70276,44,Male,11,Two year,Fiber optic,No,59.6,664.07,1,8.7,No
CUST-70277,36,Female,3,Two year,Fiber optic,Yes,77.09,231.98,1,8.8,No
CUST-70278,32,Female,21,Month-to-month,DSL,Yes,22.76,485.69,1,5.9,No
CUST-70279,45,Female,17,Month-to-month,DSL,No,47.31,,2,,Yes
CUST-70280,19,Female,18,Two year,Fiber optic,Yes,67.35,1274.09,2,7.9,No
CUST-70281,60,Male,11,Month-to-month,DSL,Yes,39.02,414.0,1,9.0,Yes
CUST-70282,35,Female,21,Month-to-month,DSL,Yes,36.95,738.36,1,10.0,Yes
CUST-70283,70,Female,20,Month-to-month,No service,Yes,30.35,572.94,1,8.8,No
CUST-70284,50,Male,9,One year,Fiber optic,Yes,50.29,471.24,2,6.5,No
CUST-70285,40,Female,14,Month-to-month,No service,No,18.94,259.67,1,8.5,No
CUST-70286,33,Female,8,Two year,DSL,No,54.77,434.08,0,9.3,No
CUST-70287,48,Male,14,One year,Fiber optic,Yes,48.2,711.51,3,8.8,Yes
CUST-70288,47,Male,13,Month-to-month,No service,No,29.87,377.81,1,9.2,Yes
CUST-70289,47,Female,29,Two year,DSL,No,40.32,1138.48,2,9.9,No
CUST-70290,53,Male,11,One year,No service,Yes,22.54,243.72,0,10.0,No
CUST-70291,43,Male,7,Two year,No service,No,18.0,128.43,0,9.2,No
CUST-70292,57,Female,12,Month-to-month,Fiber optic,Yes,75.4,912.2,2,7.4,Yes
CUST-70293,30,Female,4,Month-to-month,Fiber optic,Yes,63.63,250.09,2,,Yes
CUST-70294,38,Female,32,Month-to-month,No service,No,18.0,609.37,2,,No
CUST-70295,50,Female,3,Month-to-month,Fiber optic,Yes,52.57,161.91,0,8.2,No
CUST-70296,30,Female,52,Month-to-month,DSL,Yes,52.44,2856.67,4,6.0,No
CUST-70297,42,Female,11,Two year,DSL,Yes,39.39,425.92,0,8.4,No
CUST-70298,62,Female,28,Month-to-month,No service,No,25.58,708.71,2,7.3,No
CUST-70299,42,Male,3,One year,Fiber optic,No,74.09,231.33,1,9.5,No
CUST-70300,34,Male,7,One year,No service,Yes,24.19,168.35,3,5.1,No
CUST-70301,57,Female,10,Month-to-month,Fiber optic,No,76.31,758.19,3,7.5,No
CUST-70302,25,Male,20,Two year,No service,Yes,30.56,642.02,2,10.0,Yes
CUST-70303,36,Female,5,Month-to-month,Fiber optic,No,65.7,333.34,2,9.0,Yes
CUST-70304,56,Female,5,Month-to-month,No service,No,22.93,117.22,2,8.7,Yes
CUST-70305,30,Male,37,Two year,No service,No,18.0,626.08,2,8.8,No
CUST-70306,45,Female,29,Month-to-month,DSL,Yes,48.33,1374.03,4,8.5,Yes
CUST-70307,40,Female,28,Two year,Fiber optic,No,69.78,1850.19,2,7.8,No
CUST-70308,63,Male,26,One year,DSL,No,51.64,1375.92,0,8.4,No
CUST-70309,21,Female,9,Two year,No service,No,31.84,287.94,4,,No
CUST-70310,33,Male,9,Month-to-month,Fiber optic,No,69.95,599.81,1,7.8,Yes
CUST-70311,36,Male,22,One year,No service,No,18.0,391.09,2,9.7,No
